PZ,PS,TS,TO,IE,HF,FDF,PHI,SLAc,PF,AMX,KF,TGW,RGC,LRS,TLN,EIN,TA,SGP,PC,RAR
扬稻6号,0.0613,2.687,28.19,0.157,0.01,0.713,0.45,200,0.015,45,0.0087,27,0.3,0.0067,17.5,5,6.5,0.5,0.0784,2
两优培九,0.0718,2.709,27.05,0.177,0.014,0.727,0.468,207,0.0161,46,0.0084,27.5,0.3,0.0069,18.3,4.9,6.5,0.46,0.0885,2.05
汕优63,0.0671,2.795,27.91,0.168,0.0115,0.717,0.427,204,0.0148,47,0.0083,28,0.29,0.0075,17.7,5,6.4,0.48,0.0796,2.36
南粳9108,0.03,3.2,26.5,0.12,0.013,0.72,0.48,190,0.016,48,0.009,26,0.32,0.006,16,5.5,6.3,0.5,0.08,2.2
武运粳24号,0.025,3.1,27,0.13,0.012,0.71,0.47,195,0.0155,47,0.0088,26.5,0.31,0.0062,16.5,5.3,6.35,0.52,0.082,2.1
空育131,0.02,2.9,25.8,0.1,0.011,0.7,0.44,185,0.014,44,0.008,25,0.28,0.0058,15,5.2,6.2,0.45,0.075,1.9
黄华占,0.055,2.65,28,0.15,0.012,0.71,0.46,198,0.015,46,0.0085,26.5,0.31,0.0068,17,5.1,6.45,0.48,0.08,2.1
内5优8015,0.068,2.72,27.8,0.165,0.013,0.72,0.465,205,0.0155,47,0.0082,27.8,0.305,0.0071,18,5,6.4,0.47,0.082,2.15
徽两优985,0.065,2.75,27.5,0.16,0.0125,0.715,0.455,202,0.015,46.5,0.0083,27.2,0.3,0.007,17.8,5,6.38,0.475,0.081,2.18
凤两优464,0.062,2.78,27.6,0.17,0.0135,0.725,0.47,206,0.0158,48,0.0086,28,0.315,0.0072,18.2,5.1,6.42,0.465,0.084,2.22
湘早籼45号,0.058,2.6,28.5,0.2,0.014,0.7,0.44,192,0.0145,44,0.008,25.5,0.29,0.0065,16.5,4.8,6.25,0.44,0.077,2.05
玉针香,0.064,2.68,27.9,0.14,0.012,0.718,0.462,200,0.0152,45.5,0.0084,26.8,0.308,0.0069,17.2,5,6.35,0.47,0.079,2.12
湘晚籼13号,0.07,2.73,27.2,0.12,0.011,0.72,0.47,203,0.0156,46.8,0.0086,27.6,0.312,0.0073,17.9,5.2,6.48,0.485,0.083,2.25
龙粳31,0.022,3.15,26.2,0.11,0.0115,0.705,0.45,188,0.0158,46,0.0088,25.8,0.3,0.006,15.5,5.4,6.25,0.5,0.078,2.05
绥粳18,0.028,3.05,26.8,0.125,0.0125,0.71,0.465,192,0.016,47,0.0089,26.2,0.31,0.0061,15.8,5.45,6.28,0.51,0.081,2.15
淮稻5号,0.026,3.08,26.6,0.118,0.012,0.708,0.458,190,0.0156,46.5,0.0087,26,0.305,0.006,15.6,5.35,6.3,0.495,0.079,2.08
Y两优1号,0.069,2.71,27.7,0.162,0.0132,0.722,0.467,204,0.0153,46.2,0.0083,27.4,0.302,0.007,17.6,5,6.41,0.468,0.081,2.16
晶两优534,0.066,2.74,27.4,0.158,0.0128,0.719,0.463,201,0.0151,45.8,0.0081,27,0.298,0.0068,17.4,4.95,6.37,0.462,0.08,2.11
深两优5814,0.0675,2.76,27.55,0.16,0.013,0.724,0.469,205,0.0154,47,0.0085,27.7,0.31,0.0071,17.9,5.05,6.43,0.472,0.082,2.19
C两优华占,0.0645,2.73,27.45,0.155,0.0126,0.716,0.458,199,0.0149,45.2,0.0082,26.9,0.295,0.0067,17.1,4.92,6.34,0.458,0.0785,2.08
株两优4026,0.072,2.62,28.3,0.19,0.0145,0.695,0.435,190,0.0142,43,0.0078,25,0.285,0.0063,16,4.75,6.2,0.43,0.076,1.98
皖稻153,0.063,2.7,28.1,0.152,0.0122,0.712,0.452,197,0.0148,44.5,0.0081,26.3,0.292,0.0066,16.8,4.85,6.32,0.455,0.0775,2.02
中早47,0.075,2.58,28.4,0.185,0.0142,0.692,0.432,188,0.014,42.5,0.0076,24.8,0.28,0.0062,15.8,4.7,6.18,0.425,0.075,1.95
徐稻3号,0.024,3.02,26.3,0.115,0.0118,0.702,0.452,186,0.0152,45.5,0.0085,25.6,0.295,0.0059,15.2,5.25,6.22,0.485,0.076,2
宁粳4号,0.021,3.12,26,0.105,0.011,0.698,0.445,184,0.015,44.8,0.0082,25.2,0.285,0.0057,14.8,5.15,6.18,0.475,0.074,1.96
连粳7号,0.023,3.06,26.4,0.108,0.0112,0.704,0.448,187,0.0154,45.2,0.0084,25.4,0.29,0.0058,15,5.2,6.2,0.48,0.075,1.99
嘉育253,0.078,2.55,28.6,0.195,0.015,0.688,0.428,185,0.0138,41,0.0072,24,0.27,0.006,14.5,4.6,6.15,0.42,0.073,1.92
