Stationno,Jour,Tmax,Tmin,RAIN,SRAD,CO2
1,1990/1/1,12.3,2.8,0,7.3,486
1,1990/1/2,9.1,-0.1,0,11.3,486
1,1990/1/3,6,1.3,0,13.4,486
1,1990/1/4,9.6,3.2,0,13.6,486
1,1990/1/5,11.4,1.8,0,10.2,486
1,1990/1/6,8.3,2.7,0,13.8,486
1,1990/1/7,10.6,4.4,2,10.1,486
1,1990/1/8,14.7,7.8,0,10.3,486
1,1990/1/9,11.2,4,4.1,3.5,486
1,1990/1/10,5.6,1.3,0,4,486
1,1990/1/11,5.4,1.1,0,3.6,486
1,1990/1/12,7.2,-0.7,0,9.4,486
1,1990/1/13,7.1,1.5,0,13.6,486
1,1990/1/14,7.4,2.3,18.2,3.6,486
1,1990/1/15,4.1,-2,5.4,3.9,486
1,1990/1/16,6,-0.4,0,10.2,486
1,1990/1/17,10.4,3.4,0,14,486
1,1990/1/18,6.4,0.1,0,2.8,486
1,1990/1/19,4,-1.5,0,8.9,486
1,1990/1/20,3.2,0.7,0,10.6,486
1,1990/1/21,8.4,1.4,0,12.5,486
1,1990/1/22,7,-0.8,0,10.4,486
1,1990/1/23,7.1,-1.3,0,14.3,486
1,1990/1/24,6.5,0.3,0.5,11.7,486
1,1990/1/25,4.1,0.7,0,5.2,486
1,1990/1/26,6.2,3,0,5.9,486
1,1990/1/27,10,5,0,8.3,486
1,1990/1/28,15.3,4.8,0,11.3,486
1,1990/1/29,7.7,1.3,0.9,4.7,486
1,1990/1/30,2.2,-6.4,3.9,4.5,486
1,1990/1/31,-3.7,-7.9,0,8,486
1,1990/2/1,-1,-6.3,0,13.7,486
1,1990/2/2,4.3,0,8.1,6.4,486
1,1990/2/3,3.9,-2.3,0.9,2.5,486
1,1990/2/4,5.5,-0.5,0,12.4,486
1,1990/2/5,6.6,1.2,0,8.3,486
1,1990/2/6,8.5,2.3,3,9.8,486
1,1990/2/7,8.1,1.6,5.9,4.7,486
1,1990/2/8,8,2.8,0,8.1,486
1,1990/2/9,9.7,6.1,4.9,10.8,486
1,1990/2/10,6.7,2,5.4,2.5,486
1,1990/2/11,12.5,3,0,17.7,486
1,1990/2/12,10.8,4.2,0,14.6,486
1,1990/2/13,6.8,4,18.9,2.3,486
1,1990/2/14,10.3,5.1,0,6,486
1,1990/2/15,8.1,4.2,6.3,2.2,486
1,1990/2/16,10.1,6.1,0,4.8,486
1,1990/2/17,11.5,7.9,16.1,4.4,486
1,1990/2/18,11.7,4.2,0,9.8,486
1,1990/2/19,10.9,4.4,0,8.8,486
1,1990/2/20,10.9,5.7,18.9,9.6,486
1,1990/2/21,17.7,8.4,6.1,4.6,486
1,1990/2/22,8.6,3,11.8,2.5,486
1,1990/2/23,5.5,-1.2,0,2.6,486
1,1990/2/24,1.7,-1.4,3.5,11.5,486
1,1990/2/25,4.5,0.1,0,15.3,486
1,1990/2/26,6.4,0.8,0,16.5,486
1,1990/2/27,6.2,1.9,1.2,12.4,486
1,1990/2/28,8.6,1.9,5.6,5.1,486
1,1990/3/1,7.1,1.5,2,1.5,486
1,1990/3/2,9.6,3.5,0,5.2,486
1,1990/3/3,9.9,3.5,0,12.5,486
1,1990/3/4,11.8,4.5,0.7,15.4,486
1,1990/3/5,10.3,2.7,0.7,12.2,486
1,1990/3/6,13.6,5.2,0,17.9,486
1,1990/3/7,16.6,4.2,0,17.3,486
1,1990/3/8,16.3,6.8,0,17.8,486
1,1990/3/9,18,8.1,0,17.7,486
1,1990/3/10,19.6,11.8,2.8,12.9,486
1,1990/3/11,19.7,3.3,0,15.7,486
1,1990/3/12,13.7,5,0,19.1,486
1,1990/3/13,14.4,8.3,11.3,14.1,486
1,1990/3/14,14.8,6.6,0,8.1,486
1,1990/3/15,16.7,6.5,0,18,486
1,1990/3/16,11.3,7.4,0,11.6,486
1,1990/3/17,18.4,4.9,0,17.6,486
1,1990/3/18,15.8,4.6,0,20.5,486
1,1990/3/19,16.6,7,0,21,486
1,1990/3/20,20.6,8.7,0,19.5,486
1,1990/3/21,21.9,12.5,0.9,16.3,486
1,1990/3/22,22.7,15.2,0.8,7.7,486
1,1990/3/23,23.9,16.8,9.3,10,486
1,1990/3/24,16.4,7.7,8.8,3.3,486
1,1990/3/25,11.5,7.8,2.5,2.6,486
1,1990/3/26,14.9,9.2,3.4,9.4,486
1,1990/3/27,15.1,10.9,7.2,4.2,486
1,1990/3/28,13.8,7.7,12.1,4.9,486
1,1990/3/29,14,9.9,0,8.3,486
1,1990/3/30,16.3,12,0,13.8,486
1,1990/3/31,19.2,12.2,0,18.2,486
1,1990/4/1,22,11.7,0,18,486
1,1990/4/2,21.5,11.7,10.3,17.6,486
1,1990/4/3,14.9,3.3,0.8,3.8,486
1,1990/4/4,13.5,6.4,0,22.2,486
1,1990/4/5,16.9,8.5,0,21.8,486
1,1990/4/6,19.5,12.9,0,11,486
1,1990/4/7,19.1,7.7,0,5.7,486
1,1990/4/8,20.3,11.4,0,18.7,486
1,1990/4/9,19.1,12,9,4.4,486
1,1990/4/10,17.2,11.8,1.7,4.2,486
1,1990/4/11,17.5,10.8,26.1,3.2,486
1,1990/4/12,13.9,6.9,0,2.9,486
1,1990/4/13,18.4,9.9,0,21.8,486
1,1990/4/14,21.8,13.1,0,22,486
1,1990/4/15,20.5,13,0,18.1,486
1,1990/4/16,19.4,9.5,0,18,486
1,1990/4/17,19.4,8.6,0,23.7,486
1,1990/4/18,19.4,11.5,1,23.6,486
1,1990/4/19,17.8,11.1,6.5,8,486
1,1990/4/20,21.1,10.6,1.4,9,486
1,1990/4/21,15.5,10.3,19.6,3.6,486
1,1990/4/22,17.6,11.4,0,8.9,486
1,1990/4/23,20.5,9.3,0,18.8,486
1,1990/4/24,19.3,11.8,0,26.6,486
1,1990/4/25,23.4,13.6,0,19.9,486
1,1990/4/26,25.1,14.6,0,22.2,486
1,1990/4/27,26.4,18.6,0,24.6,486
1,1990/4/28,27.4,14.7,0,22.6,486
1,1990/4/29,24.9,16.3,11,9.1,486
1,1990/4/30,21.7,17.2,4.6,7.5,486
1,1990/5/1,27.8,16.7,1.4,7.7,486
1,1990/5/2,22.6,13.1,12.3,5.4,486
1,1990/5/3,19.4,12,0,7.6,486
1,1990/5/4,19.9,11.5,0,15,486
1,1990/5/5,23.8,13.2,0,26.9,486
1,1990/5/6,26.9,17.1,0,18.1,486
1,1990/5/7,28.1,18.9,0,24.2,486
1,1990/5/8,30.2,19.9,0,24.3,486
1,1990/5/9,28.8,20.4,0,21.4,486
1,1990/5/10,31.9,21.4,0,24.4,486
1,1990/5/11,27.1,20.2,0,18.5,486
1,1990/5/12,29,20.2,0,18.1,486
1,1990/5/13,26.9,16.1,0.8,13.8,486
1,1990/5/14,25.3,16.9,0,22.9,486
1,1990/5/15,25.3,15.4,0,16.2,486
1,1990/5/16,21,14.4,17.5,6.1,486
1,1990/5/17,19,13.8,0,8.2,486
1,1990/5/18,24.9,15.9,0,24.6,486
1,1990/5/19,28.9,19.9,0,25.1,486
1,1990/5/20,26,19,0,22.5,486
1,1990/5/21,29,17.8,2.5,12.2,486
1,1990/5/22,20.9,13,11.7,4.1,486
1,1990/5/23,18.4,13.8,2.5,6.8,486
1,1990/5/24,24.2,16.1,0,26,486
1,1990/5/25,25.3,14.8,0,27.2,486
1,1990/5/26,25.6,16.9,0,25.7,486
1,1990/5/27,24.2,16.4,0.4,21.2,486
1,1990/5/28,26.8,17.1,0,24.5,486
1,1990/5/29,25.4,19.2,48.7,8.6,486
1,1990/5/30,26.9,18,1.6,9.9,486
1,1990/5/31,26.6,17.6,0.4,16.3,486
1,1990/6/1,28,21.5,0,25.1,486
1,1990/6/2,29.2,19.3,0,25.3,486
1,1990/6/3,27,18.9,0,12.2,486
1,1990/6/4,29.6,21.9,0,22.4,486
1,1990/6/5,30.5,20.3,0,25,486
1,1990/6/6,30.9,19.9,0,26,486
1,1990/6/7,25.1,20.3,44.4,6.5,486
1,1990/6/8,27.2,18,0,10.5,486
1,1990/6/9,30.3,19.9,0,28.6,486
1,1990/6/10,32.5,22.3,0,27.7,486
1,1990/6/11,33.2,23.3,0,26.2,486
1,1990/6/12,31.8,25.1,0,20.7,486
1,1990/6/13,31,24,0,21.2,486
1,1990/6/14,28.8,21.7,13.1,9.8,486
1,1990/6/15,27.8,19.8,0,14,486
1,1990/6/16,30.4,21.6,0,24.5,486
1,1990/6/17,30.9,24,0.6,22.9,486
